locus_tag	ftype	length_bp	gene	EC_number	COG	product
FKNNEFFE_00043	CDS	552	ybgD_1		COG3539	putative fimbrial-like protein YbgD
FKNNEFFE_00044	CDS	291	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
FKNNEFFE_00045	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
FKNNEFFE_00046	CDS	171	yqiD			Protein YqiD
FKNNEFFE_00047	CDS	774	zupT		COG0428	Zinc transporter ZupT
FKNNEFFE_00048	CDS	816	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
FKNNEFFE_00049	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
FKNNEFFE_00050	CDS	672				hypothetical protein
FKNNEFFE_00051	CDS	1482	tolC		COG1538	Outer membrane protein TolC
FKNNEFFE_00052	CDS	630	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
FKNNEFFE_00053	CDS	423				hypothetical protein
FKNNEFFE_00054	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
FKNNEFFE_00055	CDS	582				hypothetical protein
FKNNEFFE_00056	CDS	1893	parE			DNA topoisomerase IV subunit B ParE
FKNNEFFE_00057	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
FKNNEFFE_00058	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
FKNNEFFE_00059	CDS	333	ygiZ			Inner membrane protein YgiZ
FKNNEFFE_00060	CDS	1350	qseC	2.7.13.3	COG0642	Sensor protein QseC
FKNNEFFE_00061	CDS	660	qseB		COG0745	Transcriptional regulatory protein QseB
FKNNEFFE_00062	CDS	393	ygiW_1		COG3111	Protein YgiW
FKNNEFFE_00063	CDS	483				putative HTH-type transcriptional regulator
FKNNEFFE_00064	CDS	90				hypothetical protein
FKNNEFFE_00065	CDS	2259	parC			DNA topoisomerase IV subunit A ParC
FKNNEFFE_00066	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
FKNNEFFE_00067	CDS	1413	ftsP		COG2132	Cell division protein FtsP
FKNNEFFE_00068	CDS	2220				hypothetical protein
FKNNEFFE_00069	CDS	258	lpp1			Major outer membrane lipoprotein Lpp 1
FKNNEFFE_00070	CDS	927				hypothetical protein
FKNNEFFE_00071	CDS	828	dkgA	1.1.1.-	COG0656	Methylglyoxal reductase DkgA
FKNNEFFE_00072	CDS	1164	yqhD	1.1.1.2	COG1979	NADPH-dependent aldehyde reductase YqhD
FKNNEFFE_00073	CDS	957	yqhC		COG2207	HTH-type transcriptional regulator YqhC
FKNNEFFE_00074	CDS	660	yghB		COG0586	Inner membrane protein YghB
FKNNEFFE_00075	CDS	1188	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
FKNNEFFE_00076	CDS	735	exbB		COG0811	Biopolymer transport protein ExbB
FKNNEFFE_00077	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
FKNNEFFE_00078	CDS	885	yghA	1.-.-.-	COG1028	putative oxidoreductase YghA
FKNNEFFE_00079	CDS	495				hypothetical protein
FKNNEFFE_00080	CDS	1041	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
FKNNEFFE_00081	CDS	888				hypothetical protein
FKNNEFFE_00082	CDS	288				hypothetical protein
FKNNEFFE_00083	CDS	1119	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
FKNNEFFE_00084	CDS	987	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
FKNNEFFE_00085	CDS	1179	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
FKNNEFFE_00086	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
FKNNEFFE_00087	CDS	495	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
FKNNEFFE_00088	CDS	489	hybE		COG1773	Hydrogenase-2 operon protein HybE
FKNNEFFE_00089	CDS	342	hybF		COG0375	Hydrogenase maturation factor HybF
FKNNEFFE_00090	CDS	249	hybG		COG0298	Hydrogenase maturation factor HybG
FKNNEFFE_00091	CDS	981				IS110 family transposase IS621
FKNNEFFE_00092	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
FKNNEFFE_00093	CDS	1860	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
FKNNEFFE_00094	CDS	1500	pitB		COG0306	Low-affinity inorganic phosphate transporter PitB
FKNNEFFE_00095	CDS	693	tmk_1	2.7.4.9		Thymidylate kinase
FKNNEFFE_00096	CDS	699				hypothetical protein
FKNNEFFE_00097	CDS	759				hypothetical protein
FKNNEFFE_00098	CDS	1350				hypothetical protein
FKNNEFFE_00099	CDS	825				hypothetical protein
FKNNEFFE_00100	CDS	561	ytfJ_1		COG3054	putative protein YtfJ
FKNNEFFE_00101	CDS	1071				hypothetical protein
FKNNEFFE_00102	CDS	1080	lptG_1		COG0795	Lipopolysaccharide export system permease protein LptG
FKNNEFFE_00103	CDS	1173	spt	2.3.1.50		Serine palmitoyltransferase
FKNNEFFE_00104	CDS	249	acpP_1			Acyl carrier protein
FKNNEFFE_00105	CDS	915	cerR	1.-.-.-		Ceramide reductase
FKNNEFFE_00106	CDS	1722	jamA	6.2.1.47		Medium-chain-fatty-acid--[acyl-carrier-protein] ligase JamA
FKNNEFFE_00107	CDS	1143	yghO		COG0456	Protein YghO
FKNNEFFE_00108	CDS	765	glcC		COG2186	Glc operon transcriptional activator
FKNNEFFE_00109	CDS	1500	glcD	1.1.99.14	COG0277	Glycolate oxidase subunit GlcD
FKNNEFFE_00110	CDS	1053	glcE	1.1.99.14	COG0277	Glycolate oxidase subunit GlcE
FKNNEFFE_00111	CDS	1224	glcF	1.1.99.14	COG0247	Glycolate oxidase iron-sulfur subunit
FKNNEFFE_00112	CDS	405	glcG		COG3193	Protein GlcG
FKNNEFFE_00113	CDS	2172	glcB	2.3.3.9	COG2225	Malate synthase G
FKNNEFFE_00114	CDS	1683	glcA		COG1620	Glycolate permease GlcA
FKNNEFFE_00115	CDS	4566	sslE			lipoprotein metalloprotease SslE
FKNNEFFE_00116	CDS	810	pppA		COG1989	Prepilin peptidase PppA
FKNNEFFE_00117	CDS	411	yghG			Lipoprotein YghG
FKNNEFFE_00118	CDS	819	gspC2			Type II secretion system protein C 2
FKNNEFFE_00119	CDS	2061	gspD2			Secretin GspD 2
FKNNEFFE_00120	CDS	1494	epsE	7.4.2.8	COG2804	Type II secretion system ATPase E
FKNNEFFE_00121	CDS	1224	epsF		COG1459	Type II secretion system protein F
FKNNEFFE_00122	CDS	456	epsG		COG2165	Type II secretion system core protein G
FKNNEFFE_00123	CDS	564	epsH		COG2165	Type II secretion system protein H
FKNNEFFE_00124	CDS	372	gspI			Type II secretion system protein I
FKNNEFFE_00125	CDS	600	gspJ			Type II secretion system protein J
FKNNEFFE_00126	CDS	978	gspK		COG3156	Putative type II secretion system protein K
FKNNEFFE_00127	CDS	1179				hypothetical protein
FKNNEFFE_00128	CDS	537	epsM_1		COG3149	Type II secretion system protein M
FKNNEFFE_00129	CDS	843				hypothetical protein
FKNNEFFE_00130	CDS	423				hypothetical protein
FKNNEFFE_00131	CDS	378	cbtA_1			Cytoskeleton-binding toxin CbtA
FKNNEFFE_00132	CDS	378	cbeA_1			Cytoskeleton bundling-enhancing antitoxin CbeA
FKNNEFFE_00133	CDS	222				hypothetical protein
FKNNEFFE_00134	CDS	477				hypothetical protein
FKNNEFFE_00135	CDS	474	klcA_1			Antirestriction protein KlcA
FKNNEFFE_00136	CDS	819				hypothetical protein
FKNNEFFE_00137	CDS	234				hypothetical protein
FKNNEFFE_00138	CDS	456				hypothetical protein
FKNNEFFE_00139	CDS	2517				hypothetical protein
FKNNEFFE_00140	CDS	3120	flu_1		COG3468	Antigen 43
FKNNEFFE_00141	CDS	873	era_1			GTPase Era
FKNNEFFE_00142	CDS	1020				hypothetical protein
FKNNEFFE_00143	CDS	216				hypothetical protein
FKNNEFFE_00144	CDS	573				hypothetical protein
FKNNEFFE_00145	CDS	207				hypothetical protein
FKNNEFFE_00146	CDS	213	hha_1			Hemolysin expression-modulating protein Hha
FKNNEFFE_00147	CDS	174				hypothetical protein
FKNNEFFE_00148	CDS	570				hypothetical protein
FKNNEFFE_00149	CDS	384				hypothetical protein
FKNNEFFE_00150	CDS	117				hypothetical protein
FKNNEFFE_00151	CDS	183				hypothetical protein
FKNNEFFE_00152	CDS	624				hypothetical protein
FKNNEFFE_00153	CDS	234				hypothetical protein
FKNNEFFE_00154	CDS	498	tssB1			Type VI secretion system sheath protein TssB1
FKNNEFFE_00155	CDS	1362				hypothetical protein
FKNNEFFE_00156	CDS	1245				hypothetical protein
FKNNEFFE_00157	CDS	1746	rep_1	5.6.2.4		ATP-dependent DNA helicase Rep
FKNNEFFE_00158	CDS	309				hypothetical protein
FKNNEFFE_00159	CDS	228				hypothetical protein
FKNNEFFE_00160	CDS	645				hypothetical protein
FKNNEFFE_00161	CDS	324				hypothetical protein
FKNNEFFE_00162	CDS	198				IS481 family transposase ISEc18
FKNNEFFE_00163	CDS	207				hypothetical protein
FKNNEFFE_00164	CDS	267				IS630 family transposase ISSpu2
FKNNEFFE_00165	CDS	477				hypothetical protein
FKNNEFFE_00166	CDS	1479	tssC1_1			Type VI secretion system sheath protein TssC1
FKNNEFFE_00167	CDS	507				hypothetical protein
FKNNEFFE_00168	CDS	423				hypothetical protein
FKNNEFFE_00169	CDS	1803	tssF1_1			Type VI secretion system component TssF1
FKNNEFFE_00170	CDS	933				hypothetical protein
FKNNEFFE_00171	CDS	1983	vgrG1a			Type VI secretion system spike protein VgrG1a
FKNNEFFE_00172	CDS	468				hypothetical protein
FKNNEFFE_00173	CDS	300				hypothetical protein
FKNNEFFE_00174	CDS	1077				hypothetical protein
FKNNEFFE_00175	CDS	552				hypothetical protein
FKNNEFFE_00176	CDS	1413	tssK1_1			Type VI secretion system baseplate component TssK1
FKNNEFFE_00177	CDS	219				hypothetical protein
FKNNEFFE_00178	CDS	591				hypothetical protein
FKNNEFFE_00179	CDS	3405				hypothetical protein
FKNNEFFE_00180	CDS	2550	clpV1_1			AAA+ ATPase ClpV1
FKNNEFFE_00181	CDS	564				hypothetical protein
FKNNEFFE_00182	CDS	1524				hypothetical protein
FKNNEFFE_00183	CDS	387				IS3 family transposase IS629
FKNNEFFE_00184	CDS	150				hypothetical protein
FKNNEFFE_00185	CDS	120				hypothetical protein
FKNNEFFE_00186	CDS	117				hypothetical protein
FKNNEFFE_00187	CDS	567				hypothetical protein
FKNNEFFE_00188	CDS	1155				hypothetical protein
FKNNEFFE_00189	CDS	186				IS66 family transposase IS682
FKNNEFFE_00190	CDS	1134				IS110 family transposase ISEc45
FKNNEFFE_00191	CDS	1614				IS66 family transposase ISEc43
FKNNEFFE_00192	CDS	351				hypothetical protein
FKNNEFFE_00193	CDS	435				hypothetical protein
FKNNEFFE_00194	CDS	432				IS66 family transposase ISEc8
FKNNEFFE_00195	CDS	219				IS256 family transposase IS1414
FKNNEFFE_00196	CDS	4119	pic_auto			serine protease autotransporter toxin Pic
FKNNEFFE_00197	CDS	387				IS3 family transposase IS629
FKNNEFFE_00198	CDS	1524				hypothetical protein
FKNNEFFE_00199	CDS	240				hypothetical protein
FKNNEFFE_00200	CDS	1152			COG2826	IS30 family transposase IS30
FKNNEFFE_00201	CDS	351				hypothetical protein
FKNNEFFE_00202	CDS	294				hypothetical protein
FKNNEFFE_00203	CDS	2871				hypothetical protein
FKNNEFFE_00204	CDS	1629				hypothetical protein
FKNNEFFE_00205	CDS	2388				hypothetical protein
FKNNEFFE_00206	CDS	981	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
FKNNEFFE_00207	CDS	2850	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
FKNNEFFE_00208	CDS	594				hypothetical protein
FKNNEFFE_00209	CDS	264				hypothetical protein
FKNNEFFE_00210	CDS	378			COG1662	IS1 family transposase IS1R
FKNNEFFE_00211	CDS	276			COG1662	IS1 family transposase IS1A
FKNNEFFE_00212	CDS	1263	intS_1		COG0582	Prophage integrase IntS
FKNNEFFE_00213	tRNA	76				tRNA-Phe(gaa)
FKNNEFFE_00214	CDS	708				hypothetical protein
FKNNEFFE_00215	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
FKNNEFFE_00216	CDS	1257	nupG		COG2211	Nucleoside permease NupG
FKNNEFFE_00217	CDS	1080	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
FKNNEFFE_00218	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
FKNNEFFE_00219	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
FKNNEFFE_00220	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
FKNNEFFE_00221	CDS	327			COG3171	putative protein
FKNNEFFE_00222	CDS	720				hypothetical protein
FKNNEFFE_00223	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
FKNNEFFE_00224	CDS	1008				hypothetical protein
FKNNEFFE_00225	CDS	1137	hemW		COG0635	Heme chaperone HemW
FKNNEFFE_00226	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
FKNNEFFE_00227	CDS	291				hypothetical protein
FKNNEFFE_00228	CDS	567				hypothetical protein
FKNNEFFE_00229	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
FKNNEFFE_00230	CDS	981	yggR_1		COG2805	putative protein YggR
FKNNEFFE_00231	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
FKNNEFFE_00232	CDS	636				hypothetical protein
FKNNEFFE_00233	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
FKNNEFFE_00234	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
FKNNEFFE_00235	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
FKNNEFFE_00236	CDS	456	sprT			Protein SprT
FKNNEFFE_00237	CDS	1395	galP		COG2814	Galactose-proton symporter
FKNNEFFE_00238	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
FKNNEFFE_00239	CDS	252				hypothetical protein
FKNNEFFE_00240	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
FKNNEFFE_00241	CDS	732				hypothetical protein
FKNNEFFE_00242	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
FKNNEFFE_00243	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
FKNNEFFE_00244	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
FKNNEFFE_00245	CDS	444	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
FKNNEFFE_00246	CDS	1389	mtlA_1			PTS system mannitol-specific EIICB component
FKNNEFFE_00247	CDS	1278	yggP	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
FKNNEFFE_00248	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
FKNNEFFE_00249	CDS	510	fumE	4.2.1.2		Fumarase E
FKNNEFFE_00250	CDS	714	coaA_1	2.7.1.33		Pantothenate kinase
FKNNEFFE_00251	CDS	678	ecfA1_1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
FKNNEFFE_00252	CDS	678	ecfA1_2	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
FKNNEFFE_00253	CDS	708				hypothetical protein
FKNNEFFE_00254	CDS	579				hypothetical protein
FKNNEFFE_00255	CDS	432				hypothetical protein
FKNNEFFE_00256	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
FKNNEFFE_00257	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
FKNNEFFE_00258	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
FKNNEFFE_00259	CDS	861	mscS		COG0668	Small-conductance mechanosensitive channel
FKNNEFFE_00260	CDS	636	argO		COG1279	Arginine exporter protein ArgO
FKNNEFFE_00261	CDS	741				26 kDa periplasmic immunogenic protein
FKNNEFFE_00262	CDS	897	cynR_1		COG0583	HTH-type transcriptional regulator CynR
FKNNEFFE_00263	CDS	1479	scpC	2.8.3.27	COG0427	Propanoyl-CoA:succinate CoA transferase
FKNNEFFE_00264	CDS	786	scpB	4.1.1.-	COG1024	Methylmalonyl-CoA decarboxylase
FKNNEFFE_00265	CDS	996	argK	3.6.5.-	COG1703	GTPase ArgK
FKNNEFFE_00266	CDS	1293	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
FKNNEFFE_00267	CDS	729	scpA_2	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
FKNNEFFE_00268	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
FKNNEFFE_00269	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
FKNNEFFE_00270	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
FKNNEFFE_00271	CDS	603	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
FKNNEFFE_00272	CDS	330	zapA		COG3027	Cell division protein ZapA
FKNNEFFE_00273	CDS	579				hypothetical protein
FKNNEFFE_00274	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
FKNNEFFE_00275	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
FKNNEFFE_00276	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
FKNNEFFE_00277	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
FKNNEFFE_00278	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
FKNNEFFE_00279	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
FKNNEFFE_00280	CDS	744	ygfF	1.-.-.-	COG1028	putative oxidoreductase YgfF
FKNNEFFE_00281	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
FKNNEFFE_00282	CDS	312	yqfB	3.5.1.135	COG3097	N(4)-acetylcytidine amidohydrolase
FKNNEFFE_00283	CDS	660				hypothetical protein
FKNNEFFE_00284	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
FKNNEFFE_00285	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
FKNNEFFE_00286	CDS	408	ygfX			Inner membrane protein YgfX
FKNNEFFE_00287	CDS	522	fldB		COG0716	Flavodoxin 2
FKNNEFFE_00288	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
FKNNEFFE_00289	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
FKNNEFFE_00290	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
FKNNEFFE_00291	CDS	882	prfB		COG1186	Peptide chain release factor RF2
FKNNEFFE_00292	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
FKNNEFFE_00293	CDS	549	idi_1	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
FKNNEFFE_00294	CDS	126	yqfG			putative protein YqfG
FKNNEFFE_00295	CDS	1449	uacT		COG2233	Uric acid transporter UacT
FKNNEFFE_00296	CDS	1920	uacF		COG0493	Putative oxidoreductase UacF
FKNNEFFE_00297	CDS	489	aegA_1		COG0493	Putative oxidoreductase AegA
FKNNEFFE_00298	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
FKNNEFFE_00299	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
FKNNEFFE_00300	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
FKNNEFFE_00301	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
FKNNEFFE_00302	CDS	780				hypothetical protein
FKNNEFFE_00303	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
FKNNEFFE_00304	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
FKNNEFFE_00305	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
FKNNEFFE_00306	CDS	771				hypothetical protein
FKNNEFFE_00307	CDS	1626				hypothetical protein
FKNNEFFE_00308	CDS	933	arcC1	2.7.2.2		Carbamate kinase 1
FKNNEFFE_00309	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
FKNNEFFE_00310	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
FKNNEFFE_00311	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
FKNNEFFE_00312	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
FKNNEFFE_00313	CDS	1779	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
FKNNEFFE_00314	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
FKNNEFFE_00315	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
FKNNEFFE_00316	CDS	2298	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
FKNNEFFE_00317	CDS	756	nlpD_1			Murein hydrolase activator NlpD
FKNNEFFE_00318	tRNA	74				tRNA-Gly(ccc)
FKNNEFFE_00319	CDS	1611				hypothetical protein
FKNNEFFE_00320	CDS	366				hypothetical protein
FKNNEFFE_00321	CDS	417				hypothetical protein
FKNNEFFE_00322	CDS	486	spaP			Surface presentation of antigens protein SpaP
FKNNEFFE_00323	CDS	261	spaQ			Surface presentation of antigens protein SpaQ
FKNNEFFE_00324	CDS	768	spaR			Surface presentation of antigens protein SpaR
FKNNEFFE_00325	CDS	672				hypothetical protein
FKNNEFFE_00326	CDS	168	spaS_1			Surface presentation of antigens protein SpaS
FKNNEFFE_00327	CDS	363	spaS_2			Surface presentation of antigens protein SpaS
FKNNEFFE_00328	CDS	294				hypothetical protein
FKNNEFFE_00329	CDS	501				hypothetical protein
FKNNEFFE_00330	CDS	1182	prgH			Protein PrgH
FKNNEFFE_00331	CDS	156				hypothetical protein
FKNNEFFE_00332	CDS	165				hypothetical protein
FKNNEFFE_00333	CDS	735	prgK			Lipoprotein PrgK
FKNNEFFE_00334	CDS	582	orgA			Oxygen-regulated invasion protein OrgA
FKNNEFFE_00335	CDS	432				hypothetical protein
FKNNEFFE_00336	CDS	156				hypothetical protein
FKNNEFFE_00337	CDS	444	ygeK		COG2197	putative response regulatory protein YgeK
FKNNEFFE_00338	CDS	375				hypothetical protein
FKNNEFFE_00339	CDS	219				hypothetical protein
FKNNEFFE_00340	CDS	1377	hilA			Transcriptional regulator HilA
FKNNEFFE_00341	CDS	492	sicA			Chaperone protein SicA
FKNNEFFE_00342	CDS	438				hypothetical protein
FKNNEFFE_00343	CDS	426				hypothetical protein
FKNNEFFE_00344	CDS	141				hypothetical protein
FKNNEFFE_00345	CDS	483				hypothetical protein
FKNNEFFE_00346	CDS	810				hypothetical protein
FKNNEFFE_00347	CDS	132				hypothetical protein
FKNNEFFE_00348	CDS	633				hypothetical protein
FKNNEFFE_00349	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
FKNNEFFE_00350	CDS	1182	atoB	2.3.1.9		Acetyl-CoA acetyltransferase
FKNNEFFE_00351	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
